,Factor,Taxa,p-value,Adjusted p-value
,Zymo-Salinity,Flavobacteriales; Maribacter,0.318372842,0.73302472
,Zymo-Salinity,Thiotrichales; Cocleimonas,0.933406557,0.949227007
,Zymo-Salinity,Granulosicoccales; Granulosicoccus,0.921598621,0.949227007
,Zymo-Salinity,Caulobacterales; Robiginitomaculum,0.779100428,0.90377372
,Zymo-Salinity,Alteromonadales; Pseudoalteromonas,0.001083202,0.018954942
,Zymo-Salinity,Gammaproteobacteria; Gammaproteobacteria,0.203160591,0.64155976
,Zymo-Salinity,Verrucomicrobiales; Rubritalea,0.317602524,0.73302472
,Zymo-Salinity,Rhodobacterales; Yoonia-Loktanella,0.658087391,0.90377372
,Zymo-Temperature,Verrucomicrobiales; Persicirhabdus,0.337361756,0.73302472
,Zymo-Temperature,Caulobacterales; Litorimonas,0.110851347,0.429947357
,Zymo-Temperature,Flavobacteriales; Maribacter,0.525671582,0.843343972
,Zymo-Temperature,Thiotrichales; Cocleimonas,0.783270558,0.90377372
,Zymo-Temperature,Granulosicoccales; Granulosicoccus,0.594389674,0.89158451
,Zymo-Temperature,Caulobacterales; Robiginitomaculum,0.581372892,0.89158451
,Zymo-Temperature,Alteromonadales; Pseudoalteromonas,0.001483055,0.018954942
,Zymo-Temperature,Gammaproteobacteria; Gammaproteobacteria,0.395717456,0.784924742
,Zymo-Temperature,Verrucomicrobiales; Rubritalea,0.188492427,0.628308089
,Zymo-Temperature,Rhodobacterales; Yoonia-Loktanella,0.746258394,0.90377372
